Jahr,Privatwhg,Unterwegs,Fester Ort
2001,5.786455037,12.17235386,81.92925079
2002,5.497387963,13.34495356,80.99754344
2003,5.188878745,13.40433692,81.26241208
2004,4.707157047,13.43685133,81.75953991
2005,4.892406301,14.01815806,80.99095403
2006,4.990027535,14.157119,80.78603456
2007,5.256857649,14.1405135,80.49544409
2008,5.484880945,14.20861906,80.20312336
2009,5.000263051,14.23106789,80.63834236
2010,4.806892646,13.6502236,81.36643665
2011,4.862146533,13.79393981,81.16590675
2012,4.785608518,14.06065734,81.01547068
2013,4.858385415,14.12735526,80.89388005
2014,4.996942375,14.12671258,80.72605542
2015,5.222373114,14.41531597,80.19823108
2016,5.364062065,14.3550854,80.08604124
2017,5.158106115,14.46975342,80.21429744
2018,5.226926032,14.35228472,80.26577932
